X,Y,Z
0.0,172.99999999999997,13.8
0.0,175.49999999999997,13.9
0.0,177.99999999999997,13.4
0.0,180.49999999999997,12.1
0.0,182.99999999999997,10.700000000000001
0.5,174.49999999999997,13.8
0.5,176.99999999999997,13.7
0.5,179.49999999999997,12.5
0.5,181.99999999999997,11.200000000000001
1.0,154.49999999999997,9.700000000000001
1.0,173.99999999999997,13.7
1.0,176.49999999999997,13.600000000000001
1.0,178.99999999999997,12.6
1.0,181.49999999999997,11.4
1.0,183.99999999999997,10.6
1.5,154.49999999999997,9.6
1.5,171.99999999999997,14.3
1.5,174.49999999999997,13.4
1.5,176.99999999999997,12.9
1.5,179.49999999999997,12.4
1.5,181.99999999999997,11.0
2.0,151.99999999999997,9.8
2.0,154.49999999999997,9.6
2.0,156.99999999999997,10.8
2.0,172.99999999999997,13.7
2.0,175.49999999999997,13.1
2.0,177.99999999999997,12.3
2.0,180.49999999999997,11.5
2.0,182.99999999999997,10.9
2.5,152.49999999999997,9.5
2.5,154.99999999999997,9.700000000000001
2.5,157.49999999999997,11.200000000000001
2.5,172.49999999999997,13.9
2.5,174.99999999999997,12.700000000000001
2.5,177.49999999999997,12.0
2.5,179.99999999999997,11.700000000000001
2.5,182.49999999999997,10.9
3.0,150.99999999999997,9.5
3.0,153.49999999999997,9.2
3.0,155.99999999999997,10.3
3.0,158.49999999999997,12.0
3.0,170.49999999999997,14.7
3.0,172.99999999999997,13.7
3.0,175.49999999999997,11.9
3.0,177.99999999999997,12.200000000000001
3.0,180.49999999999997,10.9
3.0,182.99999999999997,10.8
3.5,150.99999999999997,8.7
3.5,153.49999999999997,9.0
3.5,155.99999999999997,10.1
3.5,158.49999999999997,12.4
3.5,160.99999999999997,13.7
3.5,170.49999999999997,14.7
3.5,172.99999999999997,13.5
3.5,175.49999999999997,11.5
3.5,177.99999999999997,12.0
3.5,180.49999999999997,10.700000000000001
3.5,182.99999999999997,10.8
4.0,150.49999999999997,8.3
4.0,157.99999999999997,12.1
4.0,160.49999999999997,13.600000000000001
4.0,162.99999999999997,14.0
4.0,165.49999999999997,14.2
4.0,167.99999999999997,15.0
4.0,170.49999999999997,14.4
4.0,172.99999999999997,13.200000000000001
4.0,175.49999999999997,11.4
4.0,177.99999999999997,11.5
4.0,180.49999999999997,10.6
4.0,182.99999999999997,10.700000000000001
4.5,150.49999999999997,8.3
4.5,159.49999999999997,13.600000000000001
4.5,161.99999999999997,13.9
4.5,164.49999999999997,14.100000000000001
4.5,166.99999999999997,14.8
4.5,169.49999999999997,14.9
4.5,171.99999999999997,13.3
4.5,174.49999999999997,11.5
4.5,176.99999999999997,11.200000000000001
4.5,179.49999999999997,10.4
4.5,181.99999999999997,10.8
5.0,157.99999999999997,13.200000000000001
5.0,160.49999999999997,13.600000000000001
5.0,162.99999999999997,14.0
5.0,165.49999999999997,14.100000000000001
5.0,167.99999999999997,15.0
5.0,170.49999999999997,13.3
5.0,172.99999999999997,12.3
5.0,175.49999999999997,11.200000000000001
5.0,177.99999999999997,10.700000000000001
5.5,148.99999999999997,9.3
5.5,159.49999999999997,13.8
5.5,161.99999999999997,13.8
5.5,164.49999999999997,13.7
5.5,166.99999999999997,14.8
5.5,169.49999999999997,13.600000000000001
5.5,171.99999999999997,12.4
5.5,174.49999999999997,11.4
6.0,147.99999999999997,10.0
6.0,158.99999999999997,13.7
6.0,161.49999999999997,13.7
6.0,163.99999999999997,13.7
6.0,166.49999999999997,14.600000000000001
6.0,168.99999999999997,13.3
6.0,171.49999999999997,11.6
6.0,173.99999999999997,11.200000000000001
6.5,147.49999999999997,10.3
6.5,158.99999999999997,13.8
6.5,161.49999999999997,13.7
6.5,163.99999999999997,13.600000000000001
6.5,166.49999999999997,14.4
6.5,168.99999999999997,12.8
6.5,171.49999999999997,10.8
6.5,173.99999999999997,11.0
7.0,147.99999999999997,10.3
7.0,159.49999999999997,13.8
7.0,161.99999999999997,13.600000000000001
7.0,164.49999999999997,13.7
7.0,166.99999999999997,13.9
7.0,169.49999999999997,11.9
7.0,171.99999999999997,10.4
7.0,174.49999999999997,10.8
7.5,149.49999999999997,11.4
7.5,160.99999999999997,13.600000000000001
7.5,163.49999999999997,13.600000000000001
7.5,165.99999999999997,13.600000000000001
7.5,168.49999999999997,11.9
7.5,170.99999999999997,10.3
7.5,173.49999999999997,10.8
8.0,148.99999999999997,12.0
8.0,160.99999999999997,13.4
8.0,163.49999999999997,13.600000000000001
8.0,165.99999999999997,12.9
8.0,168.49999999999997,11.5
8.0,170.99999999999997,10.200000000000001
8.5,146.99999999999997,11.3
8.5,158.99999999999997,13.8
8.5,161.49999999999997,13.3
8.5,163.99999999999997,13.600000000000001
8.5,166.49999999999997,12.200000000000001
8.5,168.99999999999997,10.6
8.5,171.49999999999997,10.1
9.0,149.49999999999997,13.3
9.0,160.99999999999997,13.3
9.0,163.49999999999997,13.600000000000001
9.0,165.99999999999997,12.0
9.0,168.49999999999997,10.5
9.0,170.99999999999997,9.9
9.5,148.99999999999997,13.1
9.5,160.49999999999997,13.3
9.5,162.99999999999997,13.7
9.5,165.49999999999997,11.5
9.5,167.99999999999997,10.1
9.5,170.49999999999997,9.8
10.0,148.99999999999997,13.4
10.0,160.49999999999997,13.200000000000001
10.0,162.99999999999997,13.4
10.0,165.49999999999997,11.0
10.0,167.99999999999997,9.700000000000001
10.5,147.49999999999997,13.600000000000001
10.5,158.99999999999997,13.5
10.5,161.49999999999997,13.200000000000001
